Algorithm,N,Waste,CPUTime
BP NextFit,100,13734912.0,1.22e-05
BP NextFit,500,69164807.0,6.0599999999999996e-05
BP NextFit,1000,141615153.0,0.0001312
BP NextFit,5000,732051250.0,0.0008186000000000001
BP NextFit,10000,1455735160.0,0.0016384
BP NextFit,50000,7245006777.0,0.012385799999999999
BP NextFit,100000,14482434017.0,0.0250952
BP NextFit,500000,72532546426.0,0.227829
BP NextFit,1000000,144991230860.4,0.5340674
BP WorstFit,100,1734912.0,2.04e-05
BP WorstFit,500,3164807.0,0.00011219999999999999
BP WorstFit,1000,5615153.0,0.000257
BP WorstFit,5000,16051250.0,0.001472
BP WorstFit,10000,16735160.0,0.0031834000000000003
BP WorstFit,50000,70006777.0,0.019801
BP WorstFit,100000,85434017.0,0.047949000000000006
BP WorstFit,500000,176746426.0,0.3572114
BP WorstFit,1000000,296630860.4,0.837438
BP BestFit,100,1734912.0,2.74e-05
BP BestFit,500,3164807.0,0.000122
BP BestFit,1000,5615153.0,0.00026
BP BestFit,5000,13051250.0,0.0014788000000000002
BP BestFit,10000,16735160.0,0.0032236
BP BestFit,50000,70006777.0,0.0186634
BP BestFit,100000,79034017.0,0.044641
BP BestFit,500000,175946426.0,0.3450768
BP BestFit,1000000,289430860.4,0.768541
BP FirstFit,100,1734912.0,2.46e-05
BP FirstFit,500,3164807.0,0.0001178
BP FirstFit,1000,5615153.0,0.0002608
BP FirstFit,5000,13051250.0,0.001415
BP FirstFit,10000,16735160.0,0.0030574
BP FirstFit,50000,70006777.0,0.02199
BP FirstFit,100000,79034017.0,0.0493992
BP FirstFit,500000,175946426.0,0.3690082
BP FirstFit,1000000,289430860.4,0.8493312
