N,TotalFileSize,DiskSize,MinDisks,MaxDisks,DisksUsed,Waste,CPUTime
100,47265088,1000000,48,100,49,1734912,0.000042
100,47265088,1000000,48,100,49,1734912,0.000026
100,47265088,1000000,48,100,49,1734912,0.000024
100,47265088,1000000,48,100,49,1734912,0.000022
100,47265088,1000000,48,100,49,1734912,0.000023
500,247835193,1000000,248,500,251,3164807,0.000136
500,247835193,1000000,248,500,251,3164807,0.000120
500,247835193,1000000,248,500,251,3164807,0.000120
500,247835193,1000000,248,500,251,3164807,0.000121
500,247835193,1000000,248,500,251,3164807,0.000113
1000,499384847,1000000,500,1000,505,5615153,0.000282
1000,499384847,1000000,500,1000,505,5615153,0.000237
1000,499384847,1000000,500,1000,505,5615153,0.000246
1000,499384847,1000000,500,1000,505,5615153,0.000252
1000,499384847,1000000,500,1000,505,5615153,0.000283
5000,2494948750,1000000,2495,5000,2508,13051250,0.001567
5000,2494948750,1000000,2495,5000,2508,13051250,0.001422
5000,2494948750,1000000,2495,5000,2508,13051250,0.001390
5000,2494948750,1000000,2495,5000,2508,13051250,0.001345
5000,2494948750,1000000,2495,5000,2508,13051250,0.001670
10000,4992264840,1000000,4993,10000,5009,16735160,0.003809
10000,4992264840,1000000,4993,10000,5009,16735160,0.002838
10000,4992264840,1000000,4993,10000,5009,16735160,0.003041
10000,4992264840,1000000,4993,10000,5009,16735160,0.003012
10000,4992264840,1000000,4993,10000,5009,16735160,0.003418
50000,25019993223,1000000,25020,50000,25090,70006777,0.020485
50000,25019993223,1000000,25020,50000,25090,70006777,0.018223
50000,25019993223,1000000,25020,50000,25090,70006777,0.018672
50000,25019993223,1000000,25020,50000,25090,70006777,0.018574
50000,25019993223,1000000,25020,50000,25090,70006777,0.017363
100000,49935702155,1000000,49936,100000,50012,76297845,0.049898
100000,49935702155,1000000,49936,100000,50012,76297845,0.039984
100000,49935702155,1000000,49936,100000,50012,76297845,0.046652
100000,49935702155,1000000,49936,100000,50012,76297845,0.042910
100000,49959021295,1000000,49960,100000,50049,89978705,0.043761
500000,249688788399,1000000,249689,500000,249852,163211601,0.361241
500000,249688788399,1000000,249689,500000,249852,163211601,0.332794
500000,249688788399,1000000,249689,500000,249852,163211601,0.360136
500000,249688788399,1000000,249689,500000,249852,163211601,0.345711
500000,249927114274,1000000,249928,500000,250154,226885726,0.325502
1000000,499817809551,1000000,499818,1000000,500032,214190449,0.811048
1000000,499817809551,1000000,499818,1000000,500032,214190449,0.757064
1000000,499990584393,1000000,499991,1000000,500393,402415607,0.760829
1000000,499990584393,1000000,499991,1000000,500393,402415607,0.754103
1000000,499946057810,1000000,499947,1000000,500160,213942190,0.759661
