N,TotalFileSize,DiskSize,MinDisks,MaxDisks,DisksUsed,Waste,CPUTime
100,47265088,1000000,48,100,100,52734912,0.000008
100,47265088,1000000,48,100,100,52734912,0.000005
100,47265088,1000000,48,100,100,52734912,0.000008
100,47265088,1000000,48,100,100,52734912,0.000010
100,47265088,1000000,48,100,100,52734912,0.000006
500,247835193,1000000,248,500,500,252164807,0.000063
500,247835193,1000000,248,500,500,252164807,0.000020
500,247835193,1000000,248,500,500,252164807,0.000025
500,247835193,1000000,248,500,500,252164807,0.000022
500,247835193,1000000,248,500,500,252164807,0.000022
1000,499384847,1000000,500,1000,1000,500615153,0.000081
1000,499384847,1000000,500,1000,1000,500615153,0.000045
1000,499384847,1000000,500,1000,1000,500615153,0.000044
1000,499384847,1000000,500,1000,1000,500615153,0.000045
1000,499384847,1000000,500,1000,1000,500615153,0.000092
5000,2494948750,1000000,2495,5000,5000,2505051250,0.000364
5000,2494948750,1000000,2495,5000,5000,2505051250,0.000197
5000,2494948750,1000000,2495,5000,5000,2505051250,0.000205
5000,2494948750,1000000,2495,5000,5000,2505051250,0.000219
5000,2494948750,1000000,2495,5000,5000,2505051250,0.000205
10000,4992264840,1000000,4993,10000,10000,5007735160,0.000666
10000,4992264840,1000000,4993,10000,10000,5007735160,0.000449
10000,4992264840,1000000,4993,10000,10000,5007735160,0.000403
10000,4992264840,1000000,4993,10000,10000,5007735160,0.000461
10000,4992264840,1000000,4993,10000,10000,5007735160,0.000450
50000,25019993223,1000000,25020,50000,50000,24980006777,0.003284
50000,25019993223,1000000,25020,50000,50000,24980006777,0.001999
50000,25019993223,1000000,25020,50000,50000,24980006777,0.001994
50000,25019993223,1000000,25020,50000,50000,24980006777,0.002029
50000,25019993223,1000000,25020,50000,50000,24980006777,0.001980
100000,49935702155,1000000,49936,100000,100000,50064297845,0.006847
100000,49935702155,1000000,49936,100000,100000,50064297845,0.003857
100000,49935702155,1000000,49936,100000,100000,50064297845,0.004080
100000,49935702155,1000000,49936,100000,100000,50064297845,0.004493
100000,49959021295,1000000,49960,100000,100000,50040978705,0.003859
500000,249688788399,1000000,249689,500000,500000,250311211601,0.040174
500000,249688788399,1000000,249689,500000,500000,250311211601,0.022102
500000,249688788399,1000000,249689,500000,500000,250311211601,0.021319
500000,249688788399,1000000,249689,500000,500000,250311211601,0.021205
500000,249927114274,1000000,249928,500000,500000,250072885726,0.020799
1000000,499817809551,1000000,499818,1000000,1000000,500182190449,0.081737
1000000,499817809551,1000000,499818,1000000,1000000,500182190449,0.038830
1000000,499990584393,1000000,499991,1000000,1000000,500009415607,0.039974
1000000,499990584393,1000000,499991,1000000,1000000,500009415607,0.039092
1000000,499946057810,1000000,499947,1000000,1000000,500053942190,0.040602
