N,TotalFileSize,DiskSize,MinDisks,MaxDisks,DisksUsed,Waste,CPUTime
100,47265088,1000000,48,100,61,13734912,0.000014
100,47265088,1000000,48,100,61,13734912,0.000011
100,47265088,1000000,48,100,61,13734912,0.000011
100,47265088,1000000,48,100,61,13734912,0.000013
100,47265088,1000000,48,100,61,13734912,0.000012
500,247835193,1000000,248,500,317,69164807,0.000071
500,247835193,1000000,248,500,317,69164807,0.000057
500,247835193,1000000,248,500,317,69164807,0.000058
500,247835193,1000000,248,500,317,69164807,0.000058
500,247835193,1000000,248,500,317,69164807,0.000059
1000,499384847,1000000,500,1000,641,141615153,0.000162
1000,499384847,1000000,500,1000,641,141615153,0.000122
1000,499384847,1000000,500,1000,641,141615153,0.000122
1000,499384847,1000000,500,1000,641,141615153,0.000124
1000,499384847,1000000,500,1000,641,141615153,0.000126
5000,2494948750,1000000,2495,5000,3227,732051250,0.000818
5000,2494948750,1000000,2495,5000,3227,732051250,0.000711
5000,2494948750,1000000,2495,5000,3227,732051250,0.001099
5000,2494948750,1000000,2495,5000,3227,732051250,0.000715
5000,2494948750,1000000,2495,5000,3227,732051250,0.000750
10000,4992264840,1000000,4993,10000,6448,1455735160,0.002026
10000,4992264840,1000000,4993,10000,6448,1455735160,0.001634
10000,4992264840,1000000,4993,10000,6448,1455735160,0.001465
10000,4992264840,1000000,4993,10000,6448,1455735160,0.001572
10000,4992264840,1000000,4993,10000,6448,1455735160,0.001495
50000,25019993223,1000000,25020,50000,32265,7245006777,0.021473
50000,25019993223,1000000,25020,50000,32265,7245006777,0.011059
50000,25019993223,1000000,25020,50000,32265,7245006777,0.010342
50000,25019993223,1000000,25020,50000,32265,7245006777,0.009099
50000,25019993223,1000000,25020,50000,32265,7245006777,0.009956
100000,49935702155,1000000,49936,100000,64409,14473297845,0.024839
100000,49935702155,1000000,49936,100000,64409,14473297845,0.027993
100000,49935702155,1000000,49936,100000,64409,14473297845,0.021293
100000,49935702155,1000000,49936,100000,64409,14473297845,0.022096
100000,49959021295,1000000,49960,100000,64478,14518978705,0.029255
500000,249688788399,1000000,249689,500000,322216,72527211601,0.235712
500000,249688788399,1000000,249689,500000,322216,72527211601,0.223640
500000,249688788399,1000000,249689,500000,322216,72527211601,0.241569
500000,249688788399,1000000,249689,500000,322216,72527211601,0.214439
500000,249927114274,1000000,249928,500000,322481,72553885726,0.223785
1000000,499817809551,1000000,499818,1000000,644757,144939190449,0.569912
1000000,499817809551,1000000,499818,1000000,644757,144939190449,0.511132
1000000,499990584393,1000000,499991,1000000,645136,145145415607,0.544737
1000000,499990584393,1000000,499991,1000000,645136,145145415607,0.527699
1000000,499946057810,1000000,499947,1000000,644733,144786942190,0.516857
