N,TotalFileSize,DiskSize,MinDisks,MaxDisks,DisksUsed,Waste,CPUTime
100,47265088,1000000,48,100,49,1734912,0.000024
100,47265088,1000000,48,100,49,1734912,0.000020
100,47265088,1000000,48,100,49,1734912,0.000019
100,47265088,1000000,48,100,49,1734912,0.000020
100,47265088,1000000,48,100,49,1734912,0.000019
500,247835193,1000000,248,500,251,3164807,0.000123
500,247835193,1000000,248,500,251,3164807,0.000110
500,247835193,1000000,248,500,251,3164807,0.000111
500,247835193,1000000,248,500,251,3164807,0.000112
500,247835193,1000000,248,500,251,3164807,0.000105
1000,499384847,1000000,500,1000,505,5615153,0.000279
1000,499384847,1000000,500,1000,505,5615153,0.000250
1000,499384847,1000000,500,1000,505,5615153,0.000243
1000,499384847,1000000,500,1000,505,5615153,0.000258
1000,499384847,1000000,500,1000,505,5615153,0.000255
5000,2494948750,1000000,2495,5000,2511,16051250,0.001454
5000,2494948750,1000000,2495,5000,2511,16051250,0.001442
5000,2494948750,1000000,2495,5000,2511,16051250,0.001502
5000,2494948750,1000000,2495,5000,2511,16051250,0.001528
5000,2494948750,1000000,2495,5000,2511,16051250,0.001434
10000,4992264840,1000000,4993,10000,5009,16735160,0.003642
10000,4992264840,1000000,4993,10000,5009,16735160,0.003233
10000,4992264840,1000000,4993,10000,5009,16735160,0.003053
10000,4992264840,1000000,4993,10000,5009,16735160,0.003002
10000,4992264840,1000000,4993,10000,5009,16735160,0.002987
50000,25019993223,1000000,25020,50000,25090,70006777,0.020715
50000,25019993223,1000000,25020,50000,25090,70006777,0.019443
50000,25019993223,1000000,25020,50000,25090,70006777,0.020245
50000,25019993223,1000000,25020,50000,25090,70006777,0.019561
50000,25019993223,1000000,25020,50000,25090,70006777,0.019041
100000,49935702155,1000000,49936,100000,50020,84297845,0.048349
100000,49935702155,1000000,49936,100000,50020,84297845,0.045862
100000,49935702155,1000000,49936,100000,50020,84297845,0.054885
100000,49935702155,1000000,49936,100000,50020,84297845,0.044785
100000,49959021295,1000000,49960,100000,50049,89978705,0.045864
500000,249688788399,1000000,249689,500000,249853,164211601,0.352319
500000,249688788399,1000000,249689,500000,249853,164211601,0.350143
500000,249688788399,1000000,249689,500000,249853,164211601,0.352171
500000,249688788399,1000000,249689,500000,249853,164211601,0.368516
500000,249927114274,1000000,249928,500000,250154,226885726,0.362908
1000000,499817809551,1000000,499818,1000000,500050,232190449,0.892725
1000000,499817809551,1000000,499818,1000000,500050,232190449,0.845867
1000000,499990584393,1000000,499991,1000000,500393,402415607,0.822244
1000000,499990584393,1000000,499991,1000000,500393,402415607,0.821607
1000000,499946057810,1000000,499947,1000000,500160,213942190,0.804747
